                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.7298,                 1.6449,                 1.9708,                0.60724,                0.12638,                0.24131,                0.09835,                 2.3367,                 2.8604,                 2.6202,              0.0008528,              0.0008528,              0.0008528
                     94,                 1.6858,                 1.5931,                 1.9557,                 0.4124,                0.09344,                0.16457,                0.06478,                 2.6428,                 3.0431,                 2.9789,              0.0008512,              0.0008512,              0.0008512
                     95,                 1.7018,                 1.6994,                 1.9737,                0.44416,                  0.111,                0.22414,                0.08082,                 2.4609,                 2.8264,                  2.797,              0.0008496,              0.0008496,              0.0008496
                     96,                 1.6942,                 1.6583,                 1.9654,                0.49674,                0.08763,                0.20057,                0.07391,                 2.5585,                 2.9063,                 2.8687,               0.000848,               0.000848,               0.000848
                     97,                 1.7496,                 1.9027,                 2.0001,                0.54492,                0.15363,                0.21677,                0.08138,                 2.4798,                 2.7135,                 2.8115,              0.0008464,              0.0008464,              0.0008464
                     98,                 1.7383,                 1.8028,                   1.98,                0.36382,                  0.169,                0.15787,                0.05748,                 2.5919,                  2.802,                 2.9094,              0.0008448,              0.0008448,              0.0008448
                     99,                 1.7116,                 1.6779,                 1.9814,                0.52063,                0.13496,                0.18563,                0.06569,                   2.55,                 2.8856,                 2.8239,              0.0008432,              0.0008432,              0.0008432
                    100,                 1.6868,                 1.5856,                 1.9567,                0.42671,                0.10402,                0.15505,                0.05841,                  2.553,                 2.9755,                 2.8771,              0.0008416,              0.0008416,              0.0008416
                    101,                 1.7157,                 1.5684,                 1.9597,                0.53332,                0.14766,                0.23429,                0.09657,                 2.5077,                 2.7623,                 2.7632,                0.00084,                0.00084,                0.00084
                    102,                 1.7071,                 1.6214,                 1.9669,                0.41139,                0.10004,                 0.1688,                0.06266,                 2.4569,                 2.9781,                 2.7513,              0.0008384,              0.0008384,              0.0008384
                    103,                 1.6465,                 1.6709,                 1.9331,                0.51154,                0.10495,                0.20882,                 0.0736,                 2.5213,                 2.7706,                 2.8608,              0.0008368,              0.0008368,              0.0008368
                    104,                 1.7214,                 1.5476,                 1.9507,                0.40807,                0.08068,                0.15715,                0.05814,                 2.4427,                 3.0415,                 2.7347,              0.0008352,              0.0008352,              0.0008352
                    105,                 1.6657,                  1.631,                 1.9075,                0.55875,                0.19684,                0.25042,                0.09504,                 2.4704,                 2.6595,                 2.7426,              0.0008336,              0.0008336,              0.0008336
                    106,                 1.6126,                 1.5672,                 1.8979,                0.41281,                0.08114,                0.16459,                0.05912,                 2.4792,                 2.9831,                 2.7645,               0.000832,               0.000832,               0.000832
                    107,                 1.6278,                 1.5475,                  1.896,                0.59573,                0.09766,                0.17444,                0.06106,                 2.4915,                 2.9793,                 2.7475,              0.0008304,              0.0008304,              0.0008304
                    108,                 1.6086,                 1.5155,                 1.8907,                0.36809,                0.10219,                0.16676,                 0.0577,                 2.5654,                 2.9146,                 2.8775,              0.0008288,              0.0008288,              0.0008288
                    109,                 1.6353,                 1.5312,                  1.907,                0.58446,                0.14253,                0.23404,                0.08333,                 2.4854,                 2.9403,                 2.7943,              0.0008272,              0.0008272,              0.0008272
                    110,                 1.6114,                 1.5211,                 1.8742,                 0.4525,                0.14583,                0.21671,                0.07315,                 2.5194,                 2.8235,                 2.7799,              0.0008256,              0.0008256,              0.0008256
                    111,                 1.6314,                 1.6186,                 1.8934,                0.38714,                0.12227,                 0.1643,                0.05863,                 2.5181,                 2.9777,                 2.7983,               0.000824,               0.000824,               0.000824
                    112,                 1.6741,                 1.5417,                 1.9365,                0.40018,                0.12166,                0.16903,                0.05513,                 2.4686,                 2.9493,                 2.7001,              0.0008224,              0.0008224,              0.0008224
                    113,                 1.6707,                 1.5788,                 1.9433,                0.42474,                0.17118,                0.20403,                0.07759,                 2.4796,                 2.7281,                 2.7945,              0.0008208,              0.0008208,              0.0008208
                    114,                 1.6187,                 1.4618,                 1.8874,                0.41411,                0.13335,                 0.1755,                0.06778,                 2.5722,                 2.9366,                 2.8487,              0.0008192,              0.0008192,              0.0008192
                    115,                 1.6499,                 1.5319,                 1.9142,                 0.4427,                0.12649,                 0.2165,                0.08471,                 2.5011,                 2.8228,                 2.8655,              0.0008176,              0.0008176,              0.0008176
                    116,                 1.6259,                 1.4604,                 1.9129,                0.42136,                0.11415,                0.18301,                0.06644,                 2.5292,                  2.971,                 2.8594,               0.000816,               0.000816,               0.000816
                    117,                 1.5612,                 1.4218,                   1.85,                0.47994,                0.14379,                0.23779,                0.08954,                 2.4304,                 2.7912,                 2.7207,              0.0008144,              0.0008144,              0.0008144
                    118,                 1.5311,                 1.3797,                  1.834,                0.50705,                 0.1425,                 0.2016,                0.07646,                 2.4109,                 2.9117,                 2.7082,              0.0008128,              0.0008128,              0.0008128
                    119,                 1.5482,                 1.4251,                 1.8251,                0.45362,                 0.1405,                0.22211,                 0.0854,                 2.4218,                 2.8954,                 2.6942,              0.0008112,              0.0008112,              0.0008112
                    120,                  1.502,                 1.3547,                 1.8023,                0.39105,                0.09903,                0.17433,                0.06504,                 2.5659,                   2.98,                 2.8704,              0.0008096,              0.0008096,              0.0008096
                    121,                 1.5075,                 1.3774,                 1.7984,                0.48842,                0.11357,                0.21852,                0.08189,                 2.4107,                 2.9979,                 2.7252,               0.000808,               0.000808,               0.000808
                    122,                 1.5301,                 1.3679,                 1.8309,                0.54692,                0.13141,                0.16995,                0.06171,                 2.4607,                 2.9292,                 2.8001,              0.0008064,              0.0008064,              0.0008064
                    123,                 1.5694,                 1.3927,                 1.8509,                0.47953,                0.14281,                0.21491,                 0.0795,                 2.5696,                 2.9482,                 2.8623,              0.0008048,              0.0008048,              0.0008048
                    124,                 1.5226,                 1.3478,                 1.7938,                0.38841,                0.11613,                0.18904,                0.07056,                 2.4364,                 2.9243,                 2.7776,              0.0008032,              0.0008032,              0.0008032
                    125,                 1.5262,                  1.305,                 1.8042,                0.48789,                0.11736,                0.21421,                0.07896,                  2.508,                 3.1146,                 2.8055,              0.0008016,              0.0008016,              0.0008016
                    126,                 1.5002,                 1.4214,                 1.7928,                0.41714,                0.15995,                0.19502,                0.07365,                 2.4398,                 2.9209,                 2.7827,                 0.0008,                 0.0008,                 0.0008
                    127,                 1.5035,                 1.3022,                 1.8027,                0.45337,                0.11791,                0.19053,                 0.0717,                 2.4772,                 2.9539,                 2.7641,              0.0007984,              0.0007984,              0.0007984
                    128,                 1.5078,                 1.3886,                 1.7967,                0.46038,                0.14811,                0.22666,                0.08631,                 2.4575,                 2.9824,                 2.7362,              0.0007968,              0.0007968,              0.0007968
                    129,                 1.5163,                   1.29,                 1.7992,                0.44551,                0.14225,                0.19696,                0.07306,                 2.4821,                 2.8529,                 2.8785,              0.0007952,              0.0007952,              0.0007952
                    130,                 1.5537,                 1.3822,                 1.8189,                0.41694,                 0.1314,                0.16503,                0.05761,                  2.535,                 3.0775,                 2.7916,              0.0007936,              0.0007936,              0.0007936
                    131,                 1.6054,                 1.4002,                 1.8638,                0.41899,                0.16102,                 0.1924,                0.06862,                 2.6035,                 2.8268,                 2.9215,               0.000792,               0.000792,               0.000792
                    132,                 1.4993,                 1.3879,                   1.78,                0.44082,                0.12941,                0.20107,                 0.0736,                 2.5101,                 2.9845,                 2.8784,              0.0007904,              0.0007904,              0.0007904
                    133,                 1.4586,                 1.2449,                 1.7557,                0.50577,                0.18985,                0.24849,                0.09346,                 2.5356,                 2.8003,                 2.9649,              0.0007888,              0.0007888,              0.0007888
                    134,                  1.465,                 1.2947,                 1.7654,                0.47239,                0.14118,                0.21388,                0.08057,                 2.4771,                  3.039,                 2.8289,              0.0007872,              0.0007872,              0.0007872
                    135,                 1.4814,                 1.3104,                 1.7626,                0.27574,                0.25977,                0.20789,                0.08292,                 2.4385,                 2.9113,                 2.7891,              0.0007856,              0.0007856,              0.0007856
                    136,                 1.4451,                 1.3148,                 1.7356,                0.41518,                0.15236,                0.19211,                0.07217,                  2.411,                 2.8612,                 2.7284,               0.000784,               0.000784,               0.000784
                    137,                 1.4332,                 1.2554,                 1.7225,                0.20035,                0.48607,                0.21313,                0.08154,                 2.5069,                 3.0331,                 2.8981,              0.0007824,              0.0007824,              0.0007824
                    138,                 1.3985,                 1.2742,                 1.7053,                0.30314,                0.14624,                0.18784,                0.06998,                 2.4485,                 2.8833,                 2.7658,              0.0007808,              0.0007808,              0.0007808
                    139,                 1.3901,                 1.2199,                 1.6962,                0.07912,                0.64098,                0.18708,                0.07319,                 2.5029,                 3.0978,                 2.9207,              0.0007792,              0.0007792,              0.0007792
                    140,                 1.4626,                 1.2428,                 1.7487,                0.22682,                0.11687,                0.17722,                0.06666,                 2.4843,                 2.9962,                  2.805,              0.0007776,              0.0007776,              0.0007776
                    141,                 1.4265,                  1.201,                 1.7212,                0.26743,                0.16373,                0.19591,                0.07434,                 2.4373,                 3.0024,                 2.7881,               0.000776,               0.000776,               0.000776
